type,dataset,ortho_files,shapes_file,channels,centroid_x,centroid_y,threshold,pixels,gid,pixels_after_threshold,altezza_mean,altezza_median,altezza_std,altezza_max,altezza_min,summation
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570298.7744060049,4974975.814383241,,42656,63,42656,125.89484480495123,125.89346313476562,0.0145998181946282,125.95699,125.86152,5370170.5
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570297.6279764811,4974973.118747568,,42466,82,42466,125.90324023925022,125.90300750732422,0.0120352735584821,125.95319,125.86817,5346607.0
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570296.4800677934,4974970.4239365775,,42767,87,42767,125.91426801038185,125.9153289794922,0.0137623204126771,125.95909,125.8626,5384975.5
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570295.3287032639,4974967.726560114,,42579,106,42579,125.92933136052984,125.92784118652344,0.0167178123825989,126.0073,125.8797,5361945.0
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570294.1807900649,4974965.031755268,,42648,111,42648,125.93728897017444,125.937255859375,0.0121378165352827,125.98666,125.88559,5370973.5
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570293.0343565453,4974962.336120504,,42460,130,42460,125.9514366462553,125.95132446289062,0.0116183375957428,126.00355,125.91756,5347898.0
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570291.8879220287,4974959.640485969,,42652,135,42652,125.94367204351497,125.94336700439452,0.0124282760559114,125.99753,125.90099,5371749.5
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570290.7375405787,4974956.944808341,,42773,154,42773,125.9773572113249,125.97652435302734,0.0153487173488041,126.049774,125.93226,5388429.5
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570289.5871581283,4974954.249130939,,42657,159,42657,125.9786904845629,125.9770736694336,0.0101387223256802,126.01912,125.94567,5373873.0
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570288.4407206129,4974951.553497087,,42468,178,42468,126.0003061128379,125.99982452392578,0.0111046403154156,126.03987,125.9684,5350981.0
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570287.2942821003,4974948.857863464,,42654,183,42654,126.04110986073992,126.03854370117188,0.018621213717564,126.136406,126.00358,5376157.5
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570286.1463619068,4974946.163060209,,42583,202,42583,126.05607871685883,126.0549774169922,0.0121639354882586,126.11277,126.01645,5367846.0
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570284.9949883686,4974943.465685805,,42779,207,42779,126.0513803501718,126.05116271972656,0.0098597620551149,126.10203,126.023766,5392352.0
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570283.8470686843,4974940.7708773175,,42464,226,42464,126.0697649773926,126.0671157836914,0.0140879179579527,126.13098,126.03199,5353426.5
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570282.1583418745,4974936.766050485,,42661,231,42661,126.08252267879328,126.08195495605467,0.0099534713376136,126.12327,126.05243,5378806.5
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570281.0118978885,4974934.070418104,,42462,250,42462,126.08898544581037,126.08820343017578,0.0126929973138317,126.14305,126.05034,5353990.5
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570279.8615069557,4974931.374742637,,42972,255,42972,126.10446337149772,126.1035385131836,0.0115917255589859,126.15441,126.06424,5418961.0
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570303.1440380007,4974989.876693709,,42583,9,42583,125.7556066975084,125.75469207763672,0.0115190491999408,125.80341,125.721275,5355051.0
